Municipio;Densidade;Area;Populacao;NivelDensidade;CasosCovid19
Alta Floresta D'Oeste (RO);3,45;7067;24381;Baixo;0
Ariquemes (RO);20,41;4426,6;90347;Baixo;0
Cabixi (RO);4,8;1314,4;6309;Baixo;0
Cacoal (RO);20,72;3792,8;78587;Baixo;0
Cerejeiras (RO);6,12;2783,3;17034;Baixo;0
Colorado do Oeste (RO);12,81;1451,1;18589;Baixo;0
Corumbiara (RO);2,87;3060,3;8783;Baixo;0
Costa Marques (RO);2,74;4987,2;13665;Baixo;0
Espigão D'Oeste (RO);6,36;4518;28734;Baixo;0
Guajará-Mirim (RO);1,68;24855,8;41758;Baixo;0
Jaru (RO);17,66;2944,1;51993;Baixo;1
Ji-Paraná (RO);16,91;6896,7;116623;Baixo;4
Machadinho D'Oeste (RO);3,66;8509,3;31144;Baixo;0
Nova Brasilândia D'Oeste (RO);17,2;1155,4;19873;Baixo;0
Ouro Preto do Oeste (RO);19,25;1969,9;37921;Baixo;0
Pimenta Bueno (RO);5,42;6240,9;33826;Baixo;0
Porto Velho (RO);12,57;34096,4;428592;Baixo;19
Presidente Médici (RO);12,69;1758,5;22315;Baixo;0
Rio Crespo (RO);1,93;1717,6;3315;Baixo;0
Rolim de Moura (RO);34,74;1457,9;50647;Médio;0
Santa Luzia D'Oeste (RO);7,42;1197,8;8888;Baixo;0
Vilhena (RO);6,62;11519;76256;Baixo;0
São Miguel do Guaporé (RO);2,73;8007,9;21862;Baixo;0
Nova Mamoré (RO);2,24;10071,7;22561;Baixo;0
Alvorada D'Oeste (RO);5,56;3029,2;16842;Baixo;0
Alto Alegre dos Parecis (RO);3,24;3958,3;12825;Baixo;0
Alto Paraíso (RO);6,46;2651,8;17131;Baixo;0
Buritis (RO);9,92;3265,8;32397;Baixo;0
Novo Horizonte do Oeste (RO);12,14;843,4;10239;Baixo;0
Cacaulândia (RO);2,92;1961,8;5728;Baixo;0
Campo Novo de Rondônia (RO);3,68;3442;12667;Baixo;0
Candeias do Jamari (RO);2,89;6843,9;19779;Baixo;0
